sector,code,region,nondis,estab,employ,wage,bea.comp.st,bea.earn.st,bea.empl.st,gdp.comp.st,us.comp.gdp.ratio,us.comp.out.ratio,st.output,st.gdp.est,gdp,taxsub.est,taxsub.st,surplus.est,surplus.st,check,output,jobs.1000output.ratio,earn.output.ratio,comp.output.ratio,valueadded.output.ratio,taxsub.output.ratio,surplus.output.ratio,Code,st.total.dem,rpc
50,327993,34000,1,7,50,1639499,2057331.025,2093877.396,53.43718947,2217254.402,0.499656593,0.243841126,9093028.878,4437556.576,3711360.719,85391.88468,203620.6319,1772837.486,968816.1013,0,9093028.878,0.005876721,0.230272819,0.226253656,0.408154507,0.022393048,0.106544927,327993,145791265,0.393298501
51,327999,34000,0,9,320,19785510,24827916.07,25268958.48,341.9980126,26757874.9,0.630549285,0.257925516,103742643.9,42435818.31,35491294.92,667631.5824,1591996.303,12444652.7,6800724.826,0,103742643.9,0.0032966,0.243573496,0.239322184,0.342109027,0.015345631,0.065553803,327999,95536812.45,0.844837719
52,331110,34000,0,24,462,42289095,54565439.76,55159976.04,493.7596307,59108276.05,0.393381584,0.092264971,640636152,150256845.9,111909653.4,6109781.101,16920604.09,61771993.75,32199214.56,0,640636152,0.000770733,0.086101878,0.085173838,0.174685198,0.026412191,0.050261314,331110,1403807480,0.820250281
53,331200,34000,0,19,586,38730528,49973835.87,50518342.76,626.2838605,54134398.97,0.704929335,0.183161666,295555288.2,76794078.92,57195389,1261807.961,3494487.381,15624731.4,8144533.599,0,295555288.2,0.002119007,0.170926878,0.16908456,0.193518408,0.011823464,0.027556718,331200,103975219.8,0.907279552
54,33131A,34000,1,2,173,11509100,14850142.87,15011947.65,184.8926756,16086488.96,0.47890625,0.156457376,102817069.7,33590058.52,25017507.73,449533.3421,1244950.61,12586933.58,6561053.809,0,102817069.7,0.001798268,0.146006375,0.14443266,0.243320567,0.012108404,0.063812885,33131A,111000647.2,0.785175457
55,331314,34000,1,3,57,3117011,4021866.062,4065687.669,60.91839599,4356705.828,0.322706065,0.053479381,81465149.94,13500539.02,10055053.62,93826.3168,259845.3093,6708581.652,3496909.309,0,81465149.94,0.000747785,0.049907079,0.04936916,0.12342767,0.00318965,0.042925218,0,0,0
56,33131B,34000,1,8,247,18302805,23616031.6,23873348.09,263.979716,25582180.24,0.687232219,0.123918418,206443728.8,37224943.07,27724729.94,653324.8272,1809336.63,8024016.741,4182591.834,0,206443728.8,0.001278701,0.115640946,0.114394522,0.134296789,0.008764309,0.020260203,33131B,387888758.6,0.75854455
57,331411,34000,0,0,0,0,0,0,0,0,0.10570944,0.024657173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331411,237352824.5,0
58,331419,34000,1,7,479,49021194,63251838.52,63941020.41,511.9282751,68517859.45,0.354481956,0.102750127,666839660,193290119.1,143960363.9,2932836.285,8122281.442,89996176.3,46911326.86,0,666839660,0.000767693,0.095886649,0.094853144,0.215884526,0.012180262,0.070348736,331419,297981174.5,0.860906582
59,331420,34000,0,18,935,57872274,74672349.47,75485967.41,999.275443,80889183.07,0.563164894,0.099405367,813730538.2,143633212.9,106976444,5239759.337,14511140.71,41491306.97,21627721.79,0,813730538.2,0.001228018,0.092765312,0.091765451,0.131464212,0.017832857,0.026578481,331420,534481879.5,0.841170281
